Epoch 9 - 1.4574 | Accuracy: 52.34% | Time: 223.81604194641113
Epoch 97 - 1.3140 | Accuracy: 56.17% | Time: 221.41094255447388
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 98 - 1.3135 | Accuracy: 56.19% | Time: 221.22131872177124
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 99 - 1.3127 | Accuracy: 56.22% | Time: 221.06176662445068
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 100 - 1.3118 | Accuracy: 56.24% | Time: 221.3724548816681
100%|██████████| 2744/2744 [03:41<00:00, 12.42it/s] 
Epoch 101 - 1.3116 | Accuracy: 56.25% | Time: 221.0142741203308
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 102 - 1.3108 | Accuracy: 56.27% | Time: 221.14248776435852
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 103 - 1.3100 | Accuracy: 56.31% | Time: 221.26588106155396
100%|██████████| 2744/2744 [03:41<00:00, 12.38it/s]
Epoch 104 - 1.3091 | Accuracy: 56.31% | Time: 221.5730438232422
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 105 - 1.3089 | Accuracy: 56.32% | Time: 221.13218593597412
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 106 - 1.3079 | Accuracy: 56.32% | Time: 220.90293526649475
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 107 - 1.3077 | Accuracy: 56.34% | Time: 220.91570711135864
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 108 - 1.3070 | Accuracy: 56.37% | Time: 221.41190695762634
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 109 - 1.3062 | Accuracy: 56.38% | Time: 221.132337808609
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 110 - 1.3056 | Accuracy: 56.40% | Time: 220.94219040870667
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 111 - 1.3048 | Accuracy: 56.43% | Time: 221.02834630012512
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 112 - 1.3044 | Accuracy: 56.44% | Time: 221.17348885536194
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 113 - 1.3037 | Accuracy: 56.46% | Time: 221.27929043769836
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s]
Epoch 114 - 1.3031 | Accuracy: 56.47% | Time: 221.20513653755188
100%|██████████| 2744/2744 [03:40<00:00, 12.43it/s] 
Epoch 115 - 1.3029 | Accuracy: 56.48% | Time: 220.7624945640564
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 116 - 1.3020 | Accuracy: 56.49% | Time: 221.03318119049072
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 117 - 1.3018 | Accuracy: 56.49% | Time: 221.10520768165588
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 118 - 1.3009 | Accuracy: 56.55% | Time: 220.95498895645142
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 119 - 1.3005 | Accuracy: 56.56% | Time: 220.97241973876953
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 120 - 1.3001 | Accuracy: 56.53% | Time: 221.05061769485474
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 121 - 1.2993 | Accuracy: 56.60% | Time: 221.38500928878784
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 122 - 1.2991 | Accuracy: 56.58% | Time: 221.13979530334473
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 123 - 1.2982 | Accuracy: 56.61% | Time: 220.98925828933716
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 124 - 1.2976 | Accuracy: 56.62% | Time: 221.05432057380676
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 125 - 1.2972 | Accuracy: 56.62% | Time: 221.28706169128418
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 126 - 1.2969 | Accuracy: 56.62% | Time: 220.99677658081055
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 127 - 1.2965 | Accuracy: 56.66% | Time: 221.07191681861877
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 128 - 1.2957 | Accuracy: 56.69% | Time: 221.51365756988525
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 129 - 1.2948 | Accuracy: 56.72% | Time: 221.3183467388153
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 130 - 1.2948 | Accuracy: 56.70% | Time: 221.26679849624634
100%|██████████| 2744/2744 [03:41<00:00, 12.37it/s] 
Epoch 131 - 1.2944 | Accuracy: 56.71% | Time: 221.81186699867249
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 132 - 1.2937 | Accuracy: 56.72% | Time: 221.18114066123962
100%|██████████| 2744/2744 [03:41<00:00, 12.38it/s] 
Epoch 133 - 1.2932 | Accuracy: 56.74% | Time: 221.65952491760254
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 134 - 1.2930 | Accuracy: 56.76% | Time: 221.46853232383728
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 135 - 1.2923 | Accuracy: 56.76% | Time: 221.27719068527222
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 136 - 1.2920 | Accuracy: 56.77% | Time: 221.1147496700287
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 137 - 1.2912 | Accuracy: 56.80% | Time: 221.24831581115723
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 138 - 1.2913 | Accuracy: 56.83% | Time: 221.14724445343018
100%|██████████| 2744/2744 [03:41<00:00, 12.42it/s] 
Epoch 139 - 1.2907 | Accuracy: 56.83% | Time: 221.0099127292633
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 140 - 1.2901 | Accuracy: 56.82% | Time: 221.1374795436859
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 141 - 1.2898 | Accuracy: 56.84% | Time: 220.9501712322235
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 142 - 1.2892 | Accuracy: 56.86% | Time: 221.12146425247192
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 143 - 1.2889 | Accuracy: 56.88% | Time: 221.10291075706482
100%|██████████| 2744/2744 [03:41<00:00, 12.42it/s] 
Epoch 144 - 1.2887 | Accuracy: 56.86% | Time: 221.01215720176697
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 145 - 1.2880 | Accuracy: 56.89% | Time: 221.2523171901703
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 146 - 1.2876 | Accuracy: 56.91% | Time: 221.04236316680908
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 147 - 1.2872 | Accuracy: 56.90% | Time: 221.03390979766846
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 148 - 1.2867 | Accuracy: 56.93% | Time: 221.18651032447815
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 149 - 1.2865 | Accuracy: 56.91% | Time: 221.21582627296448
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 150 - 1.2861 | Accuracy: 56.90% | Time: 221.1130301952362
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 151 - 1.2856 | Accuracy: 56.96% | Time: 221.0703432559967
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 152 - 1.2852 | Accuracy: 56.97% | Time: 221.24461841583252
100%|██████████| 2744/2744 [03:41<00:00, 12.38it/s] 
Epoch 153 - 1.2845 | Accuracy: 56.99% | Time: 221.57728385925293
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 154 - 1.2844 | Accuracy: 56.98% | Time: 220.89800262451172
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 155 - 1.2841 | Accuracy: 56.98% | Time: 221.49611282348633
100%|██████████| 2744/2744 [03:41<00:00, 12.38it/s] 
Epoch 156 - 1.2835 | Accuracy: 57.03% | Time: 221.60513615608215
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 157 - 1.2830 | Accuracy: 57.04% | Time: 221.04370403289795
100%|██████████| 2744/2744 [03:51<00:00, 11.83it/s] 
Epoch 158 - 1.2831 | Accuracy: 57.01% | Time: 231.92207431793213
100%|██████████| 2744/2744 [05:07<00:00,  8.91it/s]  
Epoch 159 - 1.2825 | Accuracy: 57.04% | Time: 307.81230425834656
100%|██████████| 2744/2744 [05:08<00:00,  8.89it/s]  
Epoch 160 - 1.2820 | Accuracy: 57.05% | Time: 308.5661563873291
 97%|█████████▋| 2654/2744 [04:59<00:10,  8.86it/s]
